,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
JIEDA, 233 , -   , -   , -   , -   , -   , -   , -   , 233 , -   , -   , -   , -   ,
AKT," 1,224 ", -   , -   , -   , -   , -   , -   , -   ," 1,224 ", -   , -   , -   , -   ,
UD TRUCKS, 277 , -   , -   , 22 , -   , -   , -   , -   , -   , 7 , 6 , 84 , 158 ,
GOLDEN DRAGON, 415 , -   , 75 , -   , -   , 340 , -   , -   , -   , -   , -   , -   , -   ,
CHANGAN, 257 , 3 , -   , 27 , 164 , 51 , -   , 3 , 9 , -   , -   , -   , -   ,
SINSKI, 206 , -   , -   , -   , -   , -   , -   , -   , 206 , -   , -   , -   , -   ,
YAMOTO, 218 , -   , -   , -   , -   , -   , -   , -   , 218 , -   , -   , -   , -   ,
PIAGGIO, 269 , -   , -   , -   , -   , -   , -   , -   , 269 , -   , -   , -   , -   ,
MACAT, 200 , -   , -   , -   , -   , -   , -   , -   , 200 , -   , -   , -   , -   ,
DAKAR, 202 , -   , -   , -   , -   , -   , -   , -   , 202 , -   , -   , -   , -   ,
DUCATI, 196 , -   , -   , -   , -   , -   , -   , -   , 196 , -   , -   , -   , -   ,
IVECO, 219 , -   , 34 , 47 , -   , 15 , -   , -   , -   , 10 , 18 , 72 , 23 ,
OSAKA, 157 , -   , -   , -   , -   , -   , -   , -   , 157 , -   , -   , -   , -   ,
PETERBILT, 170 , -   , -   , 50 , -   , -   , -   , -   , -   , 2 , 98 , 7 , 13 ,
ROYAL ENFIELD, 210 , -   , -   , -   , -   , -   , -   , -   , 210 , -   , -   , -   , -   ,
EXPLORER, 134 , -   , -   , -   , -   , -   , -   , -   , 134 , -   , -   , -   , -   ,
BEIBEN, 209 , -   , -   , 16 , -   , -   , -   , -   , -   , -   , 131 , 62 , -   ,
HUSQVARNA, 141 , -   , -   , -   , -   , -   , -   , -   , 141 , -   , -   , -   , -   ,
ALFA ROMEO, 151 , 151 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
WESTERN STAR, 183 , -   , -   , 8 , -   , -   , -   , -   , -   , 1 , 167 , 4 , 3 ,
OPEL, 133 , 59 , -   , -   , 63 , -   , -   , 11 , -   , -   , -   , -   , -   ,
SPEED FIRE, 130 , -   , -   , -   , -   , -   , -   , -   , 130 , -   , -   , -   , -   ,
SEAT, 149 , 149 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NANFANG, 122 , -   , -   , -   , -   , -   , -   , -   , 122 , -   , -   , -   , -   ,
HARLEM DAYTON, 162 , -   , -   , -   , -   , -   , -   , -   , 162 , -   , -   , -   , -   ,
JET MOTO, 92 , -   , -   , -   , -   , -   , -   , -   , 92 , -   , -   , -   , -   ,
IGM," 1,194 ", -   , -   , -   , -   , -   , -   , -   ," 1,194 ", -   , -   , -   , -   ,
YUTONG, 445 , -   , 445 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACCONA, 173 , -   , -   , -   , -   , -   , -   , -   , 173 , -   , -   , -   , -   ,
SINAI, 145 , -   , -   , -   , -   , -   , -   , -   , 145 , -   , -   , -   , -   ,
OTRAS MARCAS," 9,462 "," 1,230 ", 352 , 705 , 386 , 204 , 52 , 300 ," 5,420 ", 34 , 254 , 290 , 235 ,
,,,,,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,
