,,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR  MODELO (AÑO DE FABRICACIÓN), SEGÚN MARCA",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO (AÑO DE FABRICACIÓN),,,,,,,,,,,,,,,
WESTERN STAR, 183 , 119 , -   , -   , 1 , -   , -   , 6 , 1 , 10 , 4 , 6 , 26 , 10 , -   , -   ,
OPEL, 133 , 86 , -   , 1 , 3 , 4 , 1 , 1 , 6 , 3 , 3 , 7 , 10 , 7 , 1 , -   ,
SPEED FIRE, 130 , -   , -   , -   , 4 , 19 , 70 , 37 , -   , -   , -   , -   , -   , -   , -   , -   ,
SEAT, 149 , 122 , -   , -   , 1 , 4 , 2 , 1 , 5 , 5 , 3 , 3 , 2 , 1 , -   , -   ,
NANFANG, 122 , 25 , -   , 9 , 49 , 39 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
HARLEM DAYTON, 162 , -   , -   , 9 , 1 , -   , -   , -   , -   , -   , -   , -   , 58 , 62 , 32 , -   ,
JET MOTO, 92 , -   , -   , -   , -   , -   , 51 , 41 , -   , -   , -   , -   , -   , -   , -   , -   ,
IGM," 1,194 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 51 , 115 , 615 , 413 ,
YUTONG, 445 , -   , -   , -   , -   , 34 , 20 , 12 , 18 , 44 , 63 , 102 , 77 , 74 , 1 , -   ,
ACCONA, 173 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 173 , -   ,
SINAI, 145 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 145 , -   ,
OTRAS MARCAS," 9,462 "," 2,458 ", 413 , 712 , 797 , 486 , 739 , 548 , 367 , 288 , 559 , 402 , 477 , 280 , 835 , 101 ,
,,,,,,,,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,,,,
